#Datasets	 Day:8	 Day:12	 Day:5	 Day:1
"InterPro2GO;GO:0008150 biological_process;"	17.899441	17.848091	17.801840	17.745461
"InterPro2GO;GO:0008150 biological_process;GO:0071973 bacterial-type flagellum-dependent cell motility;"	0.061877	0.058378	0.049361	0.054820
"InterPro2GO;GO:0008150 biological_process;GO:0007155 cell adhesion;"	0.012614	0.011743	0.012853	0.019370
"InterPro2GO;GO:0008150 biological_process;GO:0045454 cell redox homeostasis;"	0.061173	0.067319	0.069243	0.047546
"InterPro2GO;GO:0008150 biological_process;GO:0071840 cellular component organization or biogenesis;"	0.685880	0.684134	0.699647	0.662363
"InterPro2GO;GO:0008150 biological_process;GO:0006259 DNA metabolic process;"	0.872699	0.866186	0.848796	0.988379
"InterPro2GO;GO:0008150 biological_process;GO:0016226 iron-sulfur cluster assembly;"	0.052318	0.053997	0.059271	0.053204
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;"	12.198921	12.251172	12.361544	11.601152
"InterPro2GO;GO:0008150 biological_process;GO:0009405 pathogenesis;"	0.020008	0.019025	0.015942	0.026039
"InterPro2GO;GO:0008150 biological_process;GO:0006457 protein folding;"	0.130214	0.124657	0.119954	0.142212
"InterPro2GO;GO:0008150 biological_process;GO:0009372 quorum sensing;"	0.002252	0.001589	0.001785	0.007265
"InterPro2GO;GO:0008150 biological_process;GO:0019222 regulation of metabolic process;"	0.541969	0.525368	0.497779	0.580930
"InterPro2GO;GO:0008150 biological_process;GO:0006808 regulation of nitrogen utilization;"	0.025521	0.023818	0.017638	0.019426
"InterPro2GO;GO:0008150 biological_process;GO:0009628 response to abiotic stimulus;"	0.044264	0.042427	0.041025	0.042642
"InterPro2GO;GO:0008150 biological_process;GO:0009607 response to biotic stimulus;"	0.006083	0.006163	0.005438	0.010755
"InterPro2GO;GO:0008150 biological_process;GO:0042221 response to chemical;"	0.040956	0.039337	0.037969	0.056965
"InterPro2GO;GO:0008150 biological_process;GO:0006950 response to stress;"	0.634145	0.630203	0.624794	0.694681
"InterPro2GO;GO:0008150 biological_process;GO:0016070 RNA metabolic process;"	1.524089	1.554721	1.539629	1.474351
